%
%
% Run:00    Table:BUOYS             SWAN version:41.20
%
%       Time               Xp            Yp            Depth       X-Windv       Y-Windv         Hsig          Dir           RTpeak        Period        Tm01          Tm02          PkDir
%       [ ]                [degr]        [degr]        [m]           [m/s]         [m/s]         [m]           [degr]        [sec]         [sec]         [sec]         [sec]         [degr]
%
20120826.040000          -94.413       29.2320       15.3785       -3.1583        1.3043       0.29068       151.866        2.9526        2.3285        2.3285        1.9922       155.000
20120826.040000          -84.517       28.5000       51.6082       -6.6070       -4.6912       0.79685        70.368        3.5727        3.0136        3.0136        2.6062        65.000
20120826.040000          -88.207       29.2120      293.3774       -5.5124       -2.6840       0.51115       135.289        3.2479        2.6148        2.6148        2.2557       185.000
20120826.040000          -94.000       22.2030     3498.4778       -5.8770       -2.0961       0.54010       110.783        3.2479        2.6178        2.6178        2.2611        55.000
20120826.040000          -84.857       19.8020     4540.7300       -0.7121       -5.9090       0.49422       346.076        3.2479        2.5818        2.5818        2.2110        15.000
20120826.050000          -89.658       25.8880     3176.6836       -6.4493       -3.8869       0.76785        80.075        3.9299        3.0583        3.0583        2.6435        75.000
20120826.050000          -93.666       25.7900     3211.0347       -6.7068       -0.4143       0.67352       121.778        3.9299        2.9577        2.9577        2.5449       105.000
20120826.050000          -85.612       26.0440     3278.5854       -8.6962       -8.1915       1.68406        52.795        5.2307        4.4435        4.4435        3.9541        65.000
20120826.050000          -87.555       30.0650       24.8846       -4.8043       -2.4053       0.42223       147.674        3.9299        2.5395        2.5395        2.1970       185.000
20120826.050000          -96.695       26.9660       85.1907       -2.8982        1.6055       0.30102       139.575        2.9526        2.3608        2.3608        2.0088       135.000
20120826.050000          -94.413       29.2320       15.3785       -3.1141        1.1484       0.29184       152.323        3.2479        2.4042        2.4042        2.0600       155.000
20120826.050000          -84.517       28.5000       51.6082       -6.6964       -4.7709       0.82702        64.216        3.9299        3.1022        3.1022        2.6890        75.000
20120826.050000          -88.207       29.2120      293.3774       -5.5392       -3.0007       0.53569       112.302        3.5727        2.6320        2.6320        2.2592        75.000
20120826.050000          -94.000       22.2030     3498.4778       -5.7793       -2.2068       0.54610        94.537        3.2479        2.6447        2.6447        2.2782        55.000
20120826.050000          -84.857       19.8020     4540.7300       -0.3039       -6.2236       0.55903       359.829        3.2479        2.7521        2.7521        2.3388        15.000
20120826.060000          -89.658       25.8880     3176.6836       -6.3881       -4.1051       0.79693        75.499        3.9299        3.1551        3.1551        2.7192        75.000
20120826.060000          -93.666       25.7900     3211.0347       -6.5641       -0.3819       0.67567       117.613        3.9299        2.9895        2.9895        2.5662        95.000
20120826.060000          -85.612       26.0440     3278.5854       -8.7407       -8.5905       1.84992        52.397        5.7538        4.6842        4.6842        4.1742        65.000
20120826.060000          -87.555       30.0650       24.8846       -4.8676       -2.6410       0.43639       133.435        3.5727        2.5585        2.5585        2.2026       185.000
20120826.060000          -96.695       26.9660       85.1907       -2.7987        1.4741       0.29794       138.744        3.5727        2.4447        2.4447        2.0909       135.000
20120826.060000          -94.413       29.2320       15.3785       -3.0699        0.9926       0.29425       153.143        3.5727        2.4583        2.4583        2.1020       155.000
20120826.060000          -84.517       28.5000       51.6082       -6.7857       -4.8506       0.85757        61.438        3.9299        3.1686        3.1686        2.7407        65.000
20120826.060000          -88.207       29.2120      293.3774       -5.5661       -3.3173       0.56558        98.165        3.5727        2.6764        2.6764        2.2867        85.000
20120826.060000          -94.000       22.2030     3498.4778       -5.6815       -2.3174       0.55520        84.139        3.2479        2.6887        2.6887        2.3097        55.000
20120826.060000          -84.857       19.8020     4540.7300        0.1043       -6.5382       0.64474         4.535        3.5727        2.9421        2.9421        2.4654        15.000
20120826.070000          -89.658       25.8880     3176.6836       -6.2321       -4.2683       0.83280        73.272        4.3229        3.2618        3.2618        2.8104        85.000
20120826.070000          -93.666       25.7900     3211.0347       -6.5063       -0.5890       0.67617       114.495        3.9299        3.0089        3.0089        2.5718       105.000
20120826.070000          -85.612       26.0440     3278.5854       -8.3064       -9.1055       1.96957        52.179        5.7538        4.8864        4.8864        4.3610        65.000
20120826.070000          -87.555       30.0650       24.8846       -5.0422       -2.8338       0.45742       119.590        3.5727        2.5764        2.5764        2.2124       105.000
20120826.070000          -96.695       26.9660       85.1907       -2.9010        1.4262       0.29678       138.007        3.5727        2.5042        2.5042        2.1415       135.000
20120826.070000          -94.413       29.2320       15.3785       -2.9836        0.7830       0.29550       153.728        3.5727        2.5378        2.5378        2.1808       155.000
20120826.070000          -84.517       28.5000       51.6082       -6.6859       -5.3954       0.89378        58.541        3.9299        3.2532        3.2532        2.8238        55.000
20120826.070000          -88.207       29.2120      293.3774       -5.7826       -3.5504       0.60183        89.577        3.5727        2.7521        2.7521        2.3572        95.000
20120826.070000          -94.000       22.2030     3498.4778       -5.6942       -2.0977       0.56268        78.527        3.5727        2.7319        2.7319        2.3421        45.000
20120826.070000          -84.857       19.8020     4540.7300        0.6536       -6.2695       0.72199         7.192        5.2307        3.1987        3.1987        2.6626        15.000
20120826.080000          -89.658       25.8880     3176.6836       -6.0762       -4.4315       0.85982        71.859        4.3229        3.3384        3.3384        2.8546        75.000
20120826.080000          -93.666       25.7900     3211.0347       -6.4485       -0.7961       0.68104       111.391        3.9299        3.0369        3.0369        2.5958       115.000
20120826.080000          -85.612       26.0440     3278.5854       -7.8721       -9.6204       2.07767        51.258        6.3292        5.0356        5.0356        4.4974        65.000
20120826.080000          -87.555       30.0650       24.8846       -5.2168       -3.0267       0.48458       108.369        3.5727        2.5888        2.5888        2.2113        95.000
20120826.080000          -96.695       26.9660       85.1907       -3.0032        1.3783       0.29620       137.185        3.5727        2.5690        2.5690        2.2027       135.000
20120826.080000          -94.413       29.2320       15.3785       -2.8973        0.5735       0.29769       154.310        3.5727        2.5904        2.5904        2.2250       155.000
20120826.080000          -84.517       28.5000       51.6082       -6.5861       -5.9402       0.93667        55.993        3.9299        3.3296        3.3296        2.8877        55.000
