%
%
% Run:00    Table:BUOYS             SWAN version:41.20
%
%       Time               Xp            Yp            Depth       X-Windv       Y-Windv         Hsig          Dir           RTpeak        Period        Tm01          Tm02          PkDir
%       [ ]                [degr]        [degr]        [m]           [m/s]         [m/s]         [m]           [degr]        [sec]         [sec]         [sec]         [sec]         [degr]
%
20120827.020000          -84.517       28.5000       51.6082      -10.3115       -7.7253       1.96797        53.599        5.7538        4.8446        4.8446        4.3373        65.000
20120827.020000          -88.207       29.2120      293.3774       -5.0241       -7.7768       1.36650        71.646        6.3292        4.2756        4.2756        3.6071       105.000
20120827.020000          -94.000       22.2030     3498.4778       -3.4948       -1.9201       0.77095        55.621        5.2307        3.9143        3.9143        3.3468        45.000
20120827.020000          -84.857       19.8020     4540.7300        6.7838        2.3959       1.48756       348.700        8.4242        5.1659        5.1659        4.1132         5.000
20120827.030000          -89.658       25.8880     3176.6836       -1.8342      -10.8188       2.30088        56.421        8.4242        5.7923        5.7923        4.9409        85.000
20120827.030000          -93.666       25.7900     3211.0347       -4.7420       -4.3926       0.96373        75.951        5.2307        3.7969        3.7969        3.1823        95.000
20120827.030000          -85.612       26.0440     3278.5854       -9.7660      -11.6501       3.85893        48.916        9.2666        7.1588        7.1588        6.5937        75.000
20120827.030000          -87.555       30.0650       24.8846       -4.5392       -6.5380       0.88035        74.211        5.2307        3.2695        3.2695        2.7099       105.000
20120827.030000          -96.695       26.9660       85.1907       -1.5483       -0.6298       0.41721       120.351        4.3229        3.4185        3.4185        2.9713       125.000
20120827.030000          -94.413       29.2320       15.3785       -0.8193       -1.1618       0.34146       147.749        4.3229        3.3354        3.3354        2.9427       155.000
20120827.030000          -84.517       28.5000       51.6082      -11.1955       -7.5530       2.14413        58.543        6.3292        5.0455        5.0455        4.5438        75.000
20120827.030000          -88.207       29.2120      293.3774       -4.9587       -8.3350       1.44118        68.989        6.3292        4.3546        4.3546        3.6981       105.000
20120827.030000          -94.000       22.2030     3498.4778       -2.4366       -2.3589       0.76467        55.280        5.2307        4.0787        4.0787        3.5423        45.000
20120827.030000          -84.857       19.8020     4540.7300        6.8868        2.6860       1.51533       345.901        8.4242        5.1410        5.1410        4.0861       355.000
20120827.040000          -89.658       25.8880     3176.6836       -1.6386      -11.4029       2.41719        53.852        8.4242        5.8971        5.8971        5.0638        85.000
20120827.040000          -93.666       25.7900     3211.0347       -4.3020       -4.6229       0.96732        75.870        5.2307        3.8545        3.8545        3.2135        95.000
20120827.040000          -85.612       26.0440     3278.5854       -9.8287      -11.4521       4.02918        52.772        9.2666        7.3411        7.3411        6.7688        85.000
20120827.040000          -87.555       30.0650       24.8846       -4.5734       -7.0066       0.92384        71.152        5.2307        3.3298        3.3298        2.7726       105.000
20120827.040000          -96.695       26.9660       85.1907       -1.2117       -0.9586       0.42617       119.934        4.3229        3.5255        3.5255        3.0801       125.000
20120827.040000          -94.413       29.2320       15.3785       -0.7378       -1.8966       0.34306       146.577        4.3229        3.3925        3.3925        3.0026       155.000
20120827.040000          -84.517       28.5000       51.6082      -11.6494       -7.2659       2.31408        63.494        6.3292        5.2633        5.2633        4.7602        75.000
20120827.040000          -88.207       29.2120      293.3774       -4.9220       -8.8967       1.52218        66.526        6.3292        4.4484        4.4484        3.7953       105.000
20120827.040000          -94.000       22.2030     3498.4778       -1.3785       -2.7977       0.76412        55.353        5.2307        4.1904        4.1904        3.6374        75.000
20120827.040000          -84.857       19.8020     4540.7300        6.9897        2.9762       1.54412       343.206        8.4242        5.1440        5.1440        4.1020       355.000
20120827.050000          -89.658       25.8880     3176.6836       -1.4430      -11.9871       2.55255        50.688        8.4242        5.9767        5.9767        5.1698        85.000
20120827.050000          -93.666       25.7900     3211.0347       -3.8621       -4.8531       0.97636        76.127        5.2307        3.9299        3.9299        3.2625        95.000
20120827.050000          -85.612       26.0440     3278.5854       -9.8250      -11.2225       4.13905        56.020        9.2666        7.5068        7.5068        6.9244        85.000
20120827.050000          -87.555       30.0650       24.8846       -4.6159       -7.4511       0.98527        67.841        3.9299        3.4002        3.4002        2.8472       105.000
20120827.050000          -96.695       26.9660       85.1907       -0.8753       -1.2873       0.43633       119.424        4.7552        3.6254        3.6254        3.1779       125.000
20120827.050000          -94.413       29.2320       15.3785       -0.6563       -2.6314       0.34488       145.252        4.3229        3.4492        3.4492        3.0605       155.000
20120827.050000          -84.517       28.5000       51.6082      -12.0818       -6.9316       2.47771        68.364        6.3292        5.4921        5.4921        4.9885        85.000
20120827.050000          -88.207       29.2120      293.3774       -4.8958       -9.4355       1.60943        63.320        6.3292        4.5234        4.5234        3.8757        95.000
20120827.050000          -94.000       22.2030     3498.4778       -0.3203       -3.2366       0.76787        55.698        5.2307        4.3194        4.3194        3.7607        75.000
20120827.050000          -84.857       19.8020     4540.7300        7.0927        3.2663       1.57814       340.424        8.4242        5.1422        5.1422        4.1123       355.000
20120827.060000          -89.658       25.8880     3176.6836       -1.2474      -12.5712       2.69943        47.430        8.4242        6.0716        6.0716        5.2981        75.000
20120827.060000          -93.666       25.7900     3211.0347       -3.4222       -5.0835       0.99291        76.069        5.2307        4.0126        4.0126        3.2949        95.000
20120827.060000          -85.612       26.0440     3278.5854       -9.7200      -10.9189       4.22963        58.752        9.2666        7.6188        7.6188        7.0238        85.000
20120827.060000          -87.555       30.0650       24.8846       -4.6621       -7.8750       1.04026        65.646        3.9299        3.4834        3.4834        2.9257       105.000
20120827.060000          -96.695       26.9660       85.1907       -0.5387       -1.6161       0.44672       118.914        4.7552        3.7347        3.7347        3.2923       125.000
20120827.060000          -94.413       29.2320       15.3785       -0.5747       -3.3662       0.34692       143.794        4.3229        3.5055        3.5055        3.1156       155.000
20120827.060000          -84.517       28.5000       51.6082      -12.4938       -6.5441       2.64033        72.970        6.9621        5.6880        5.6880        5.1739        85.000
20120827.060000          -88.207       29.2120      293.3774       -4.8761       -9.9567       1.71073        60.648        6.3292        4.6467        4.6467        4.0120        95.000
20120827.060000          -94.000       22.2030     3498.4778        0.7378       -3.6754       0.77598        56.139        5.2307        4.4510        4.4510        3.8698        75.000
20120827.060000          -84.857       19.8020     4540.7300        7.1956        3.5565       1.61378       337.829        8.4242        5.1670        5.1670        4.1537       355.000
20120827.070000          -89.658       25.8880     3176.6836       -0.3051      -12.5432       2.79435        44.968        8.4242        6.1880        6.1880        5.4283        75.000
20120827.070000          -93.666       25.7900     3211.0347       -3.1629       -5.1895       1.01666        76.352        5.7538        4.1266        4.1266        3.3771        95.000
20120827.070000          -85.612       26.0440     3278.5854       -9.7245      -11.4467       4.30699        60.674        9.2666        7.7192        7.7192        7.1176        85.000
20120827.070000          -87.555       30.0650       24.8846       -5.1859       -8.0134       1.10613        64.910        4.3229        3.6025        3.6025        3.0444       105.000
20120827.070000          -96.695       26.9660       85.1907       -0.8432       -1.7587       0.45771       118.356        4.7552        3.8405        3.8405        3.3999       125.000
20120827.070000          -94.413       29.2320       15.3785       -0.6251       -3.3277       0.34916       142.231        4.3229        3.5626        3.5626        3.1695       155.000
20120827.070000          -84.517       28.5000       51.6082      -13.4661       -6.2933       2.84420        77.591        6.9621        5.9148        5.9148        5.4018        85.000
20120827.070000          -88.207       29.2120      293.3774       -5.1246      -10.0305       1.80300        59.063        6.3292        4.7638        4.7638        4.1199        95.000
20120827.070000          -94.000       22.2030     3498.4778        0.5196       -3.6315       0.78857        56.844        5.2307        4.6051        4.6051        3.9966        75.000
20120827.070000          -84.857       19.8020     4540.7300        6.5253        3.2847       1.63004       337.630        8.4242        5.2398        5.2398        4.1945       355.000
20120827.080000          -89.658       25.8880     3176.6836        0.6053      -12.3796       2.87581        43.110        8.4242        6.2793        6.2793        5.5329        75.000
20120827.080000          -93.666       25.7900     3211.0347       -2.9035       -5.2956       1.04895        76.359        5.7538        4.2263        4.2263        3.4133        95.000
20120827.080000          -85.612       26.0440     3278.5854       -9.5894      -11.6168       4.37721        61.936       10.1933        7.7777        7.7777        7.1682        95.000
20120827.080000          -87.555       30.0650       24.8846       -5.7354       -8.1561       1.18412        65.421        4.3229        3.7136        3.7136        3.1394       105.000
20120827.080000          -96.695       26.9660       85.1907       -1.1475       -1.9012       0.46915       117.750        4.7552        3.9454        3.9454        3.5062       125.000
20120827.080000          -94.413       29.2320       15.3785       -0.6755       -3.2891       0.35164       140.561        4.3229        3.6195        3.6195        3.2211       115.000
20120827.080000          -84.517       28.5000       51.6082      -14.3920       -6.1204       3.08910        81.895        6.9621        6.1483        6.1483        5.6435        95.000
20120827.080000          -88.207       29.2120      293.3774       -5.4132      -10.1213       1.89326        58.414        6.3292        4.8932        4.8932        4.2452        95.000
20120827.080000          -94.000       22.2030     3498.4778        0.3013       -3.5876       0.80678        57.765        5.2307        4.7796        4.7796        4.1474        75.000
20120827.080000          -84.857       19.8020     4540.7300        5.8550        3.0129       1.63098       339.180        8.4242        5.3882        5.3882        4.3063       355.000
20120827.090000          -89.658       25.8880     3176.6836        1.4427      -12.2560       2.92957        41.050        8.4242        6.3596        6.3596        5.6145        75.000
20120827.090000          -93.666       25.7900     3211.0347       -2.6442       -5.4016       1.09144        76.483        5.7538        4.3645        4.3645        3.5175        95.000
20120827.090000          -85.612       26.0440     3278.5854       -8.9970      -11.3390       4.39251        63.266       10.1933        7.8450        7.8450        7.2282        95.000
20120827.090000          -87.555       30.0650       24.8846       -6.3042       -8.3173       1.27607        67.002        4.7552        3.8682        3.8682        3.2865       105.000
20120827.090000          -96.695       26.9660       85.1907       -1.4520       -2.0438       0.48101       117.089        4.7552        4.0488        4.0488        3.6088       115.000
20120827.090000          -94.413       29.2320       15.3785       -0.7259       -3.2505       0.35449       138.787        4.3229        3.6754        3.6754        3.2690       115.000
20120827.090000          -84.517       28.5000       51.6082      -15.1441       -5.7976       3.33789        85.780        7.6584        6.3948        6.3948        5.9005        95.000
20120827.090000          -88.207       29.2120      293.3774       -5.7371      -10.2496       2.00085        58.567        6.3292        5.0284        5.0284        4.3768        95.000
20120827.090000          -94.000       22.2030     3498.4778        0.0830       -3.5437       0.83022        58.825        5.7538        4.9831        4.9831        4.3340        75.000
20120827.090000          -84.857       19.8020     4540.7300        5.1848        2.7412       1.62238       341.675        9.2666        5.6424        5.6424        4.5555       355.000
20120827.100000          -89.658       25.8880     3176.6836        2.2156      -12.1672       2.99305        39.214        9.2666        6.4283        6.4283        5.6926        75.000
20120827.100000          -93.666       25.7900     3211.0347       -2.3849       -5.5077       1.13684        76.667        8.4242        4.5107        4.5107        3.6038        95.000
20120827.100000          -85.612       26.0440     3278.5854       -7.5164       -9.8437       4.31745        65.673       10.1933        8.0542        8.0542        7.4710        95.000
20120827.100000          -87.555       30.0650       24.8846       -6.9053       -8.5018       1.38836        69.203        4.7552        4.0072        4.0072        3.3994       105.000
20120827.100000          -96.695       26.9660       85.1907       -1.7564       -2.1864       0.49328       116.362        5.2307        4.1523        4.1523        3.7095       115.000
20120827.100000          -94.413       29.2320       15.3785       -0.7763       -3.2120       0.35776       136.937        4.3229        3.7308        3.7308        3.3138       115.000
20120827.100000          -84.517       28.5000       51.6082      -15.8437       -5.3358       3.58675        89.491        7.6584        6.6201        6.6201        6.1353        95.000
20120827.100000          -88.207       29.2120      293.3774       -6.1077      -10.4256       2.11208        59.183        6.3292        5.1790        5.1790        4.5120        95.000
20120827.100000          -94.000       22.2030     3498.4778       -0.1353       -3.4998       0.85993        59.942        5.7538        5.1903        5.1903        4.5112        75.000
20120827.100000          -84.857       19.8020     4540.7300        4.5144        2.4695       1.61099       344.311        9.2666        5.9409        5.9409        4.8556       355.000
20120827.110000          -89.658       25.8880     3176.6836        2.9606      -12.1425       3.05718        37.515        9.2666        6.4958        6.4958        5.7623        75.000
20120827.110000          -93.666       25.7900     3211.0347       -2.1255       -5.6137       1.18748        76.869        8.4242        4.6746        4.6746        3.7200        95.000
20120827.110000          -85.612       26.0440     3278.5854       -5.7177       -7.8816       4.24479        69.078       10.1933        8.4300        8.4300        7.9154        95.000
20120827.110000          -87.555       30.0650       24.8846       -7.4250       -8.6730       1.50805        71.963        4.7552        4.2094        4.2094        3.5756       105.000
20120827.110000          -96.695       26.9660       85.1907       -2.0608       -2.3290       0.50608       115.550        5.2307        4.2570        4.2570        3.8076       115.000
20120827.110000          -94.413       29.2320       15.3785       -0.8266       -3.1735       0.36143       135.058        4.3229        3.7866        3.7866        3.3566       115.000
20120827.110000          -84.517       28.5000       51.6082      -16.4548       -4.7205       3.81490        93.183        7.6584        6.8315        6.8315        6.3471        95.000
20120827.110000          -88.207       29.2120      293.3774       -6.4454      -10.6248       2.24633        60.474        6.3292        5.3627        5.3627        4.6806       105.000
20120827.110000          -94.000       22.2030     3498.4778       -0.3535       -3.4559       0.89454        61.053        9.2666        5.4255        5.4255        4.7290        75.000
20120827.110000          -84.857       19.8020     4540.7300        3.8441        2.1977       1.60165       346.584       10.1933        6.2524        6.2524        5.2168       355.000
20120827.120000          -89.658       25.8880     3176.6836        3.2366      -12.3455       3.13332        35.813        9.2666        6.5682        6.5682        5.8381        85.000
20120827.120000          -93.666       25.7900     3211.0347       -2.0492       -5.7329       1.24191        77.114        9.2666        4.8452        4.8452        3.8443        95.000
20120827.120000          -85.612       26.0440     3278.5854       -5.1520       -8.5574       4.34217        71.121       10.1933        8.6480        8.6480        8.1229        95.000
20120827.120000          -87.555       30.0650       24.8846       -7.4860       -8.6580       1.60731        75.653        6.3292        4.4121        4.4121        3.7343       105.000
20120827.120000          -96.695       26.9660       85.1907       -2.1544       -2.1720       0.51961       114.639        5.2307        4.3656        4.3656        3.9060       115.000
20120827.120000          -94.413       29.2320       15.3785       -0.7823       -3.3019       0.36545       133.190        4.3229        3.8426        3.8426        3.3963       115.000
20120827.120000          -84.517       28.5000       51.6082      -16.8179       -3.9164       3.99776        96.819        8.4242        7.0207        7.0207        6.5314        95.000
20120827.120000          -88.207       29.2120      293.3774       -6.5526      -10.6929       2.37905        62.671        6.3292        5.5634        5.5634        4.8547       105.000
20120827.120000          -94.000       22.2030     3498.4778       -0.3350       -3.6155       0.93431        62.062        9.2666        5.6612        5.6612        4.9366        75.000
20120827.120000          -84.857       19.8020     4540.7300        3.1099        2.2087       1.59576       348.321       10.1933        6.5255        6.5255        5.5655       355.000
20120827.130000          -89.658       25.8880     3176.6836        3.6837      -13.1565       3.25329        32.522        9.2666        6.6375        6.6375        5.9253        85.000
20120827.130000          -93.666       25.7900     3211.0347       -1.9728       -5.8521       1.29918        77.313        9.2666        5.0197        5.0197        3.9865        95.000
20120827.130000          -85.612       26.0440     3278.5854       -5.8437      -21.2342       5.39085        58.846       10.1933        8.2571        8.2571        7.6416        85.000
20120827.130000          -87.555       30.0650       24.8846       -7.1113       -8.8864       1.71036        79.075        5.7538        4.6089        4.6089        3.8935       115.000
20120827.130000          -96.695       26.9660       85.1907       -2.2481       -2.0150       0.53418       113.612        5.2307        4.4800        4.4800        4.0059       115.000
20120827.130000          -94.413       29.2320       15.3785       -0.7378       -3.4302       0.36977       131.369        4.3229        3.8979        3.8979        3.4313       115.000
20120827.130000          -84.517       28.5000       51.6082      -16.4166       -4.3690       4.11450        99.423        8.4242        7.1582        7.1582        6.6569        95.000
20120827.130000          -88.207       29.2120      293.3774       -6.2160      -10.9694       2.53252        64.961        6.9621        5.7709        5.7709        5.0377       105.000
20120827.130000          -94.000       22.2030     3498.4778       -0.3165       -3.7752       0.97857        62.910        9.2666        5.8893        5.8893        5.1201        75.000
20120827.130000          -84.857       19.8020     4540.7300        2.3757        2.2196       1.59225       349.586       10.1933        6.7383        6.7383        5.8478         5.000
20120827.140000          -89.658       25.8880     3176.6836        3.8161      -13.1612       3.35357        30.460        9.2666        6.7444        6.7444        6.0440        85.000
20120827.140000          -93.666       25.7900     3211.0347       -1.8964       -5.9712       1.35919        77.199        9.2666        5.1664        5.1664        4.0867        85.000
20120827.140000          -85.612       26.0440     3278.5854       -7.9108      -19.8742       5.86080        56.806       11.2126        8.4827        8.4827        7.8949        85.000
20120827.140000          -87.555       30.0650       24.8846       -7.4169       -8.9024       1.81749        82.822        6.3292        4.8131        4.8131        4.0531       115.000
20120827.140000          -96.695       26.9660       85.1907       -2.3418       -1.8581       0.55025       112.458        5.2307        4.6028        4.6028        4.1090       115.000
20120827.140000          -94.413       29.2320       15.3785       -0.6934       -3.5586       0.37429       129.608        4.7552        3.9503        3.9503        3.4571       115.000
20120827.140000          -84.517       28.5000       51.6082      -16.5203       -3.4364       4.19630       102.294        8.4242        7.2542        7.2542        6.7426       105.000
20120827.140000          -88.207       29.2120      293.3774       -6.5382      -11.0368       2.69334        67.724        7.6584        5.9861        5.9861        5.2257       105.000
20120827.140000          -94.000       22.2030     3498.4778       -0.2980       -3.9348       1.02666        63.573        9.2666        6.0990        6.0990        5.2655        75.000
20120827.140000          -84.857       19.8020     4540.7300        1.6415        2.2306       1.58608       350.659       10.1933        6.9315        6.9315        6.1192         5.000
20120827.150000          -89.658       25.8880     3176.6836        3.9475      -13.1531       3.45147        28.996        9.2666        6.8458        6.8458        6.1482        85.000
20120827.150000          -93.666       25.7900     3211.0347       -1.8201       -6.0904       1.41850        77.141        9.2666        5.3312        5.3312        4.2154        85.000
20120827.150000          -85.612       26.0440     3278.5854       -2.9012        2.0240       5.68239        62.440       11.2126        9.0801        9.0801        8.6091        85.000
20120827.150000          -87.555       30.0650       24.8846       -7.7258       -8.9045       1.92800        86.604        7.6584        5.0232        5.0232        4.2144       115.000
20120827.150000          -96.695       26.9660       85.1907       -2.4354       -1.7011       0.56831       111.181        5.2307        4.7361        4.7361        4.2175       105.000
20120827.150000          -94.413       29.2320       15.3785       -0.6490       -3.6870       0.37915       127.834        4.7552        3.9857        3.9857        3.4482       115.000
20120827.150000          -84.517       28.5000       51.6082      -16.4989       -2.4826       4.23798       105.300        8.4242        7.3246        7.3246        6.8026       105.000
20120827.150000          -88.207       29.2120      293.3774       -6.8770      -11.0946       2.85597        70.698        7.6584        6.2110        6.2110        5.4185       115.000
20120827.150000          -94.000       22.2030     3498.4778       -0.2795       -4.0944       1.07817        64.000        9.2666        6.2651        6.2651        5.3221        75.000
20120827.150000          -84.857       19.8020     4540.7300        0.9073        2.2416       1.57845       351.445       10.1933        7.0762        7.0762        6.3280         5.000
20120827.160000          -89.658       25.8880     3176.6836        4.0818      -13.1340       3.54652        28.151        9.2666        6.9550        6.9550        6.2581        85.000
20120827.160000          -93.666       25.7900     3211.0347       -1.7437       -6.2096       1.47747        76.992        9.2666        5.4931        5.4931        4.3432        85.000
20120827.160000          -85.612       26.0440     3278.5854       -2.9909        3.6896       5.48117        67.104       11.2126        9.3557        9.3557        8.9449        85.000
20120827.160000          -87.555       30.0650       24.8846       -8.0376       -8.8903       2.04201        90.285       10.1933        5.2258        5.2258        4.3627       135.000
20120827.160000          -96.695       26.9660       85.1907       -2.5290       -1.5441       0.58888       109.795        5.2307        4.8819        4.8819        4.3335       105.000
20120827.160000          -94.413       29.2320       15.3785       -0.6046       -3.8154       0.38538       125.675        4.7552        3.9466        3.9466        3.3078       115.000
20120827.160000          -84.517       28.5000       51.6082      -16.3367       -1.5292       4.23640       108.597        8.4242        7.3707        7.3707        6.8350       105.000
20120827.160000          -88.207       29.2120      293.3774       -7.2387      -11.1398       3.02942        73.626       10.1933        6.4267        6.4267        5.6038       115.000
20120827.160000          -94.000       22.2030     3498.4778       -0.2609       -4.2540       1.13328        64.116        9.2666        6.3540        6.3540        5.2483        75.000
20120827.160000          -84.857       19.8020     4540.7300        0.1731        2.2525       1.56817       352.023       10.1933        7.1836        7.1836        6.4878         5.000
20120827.170000          -89.658       25.8880     3176.6836        4.2237      -13.1060       3.64505        27.938        9.2666        7.0746        7.0746        6.3794        85.000
20120827.170000          -93.666       25.7900     3211.0347       -1.6674       -6.3288       1.53674        76.643        9.2666        5.6487        5.6487        4.4615        85.000
20120827.170000          -85.612       26.0440     3278.5854       -2.4049        6.1777       5.24582        71.657       11.2126        9.3519        9.3519        8.9311        85.000
20120827.170000          -87.555       30.0650       24.8846       -8.3519       -8.8580       2.15281        93.959       10.1933        5.4369        5.4369        4.5148       135.000
20120827.170000          -96.695       26.9660       85.1907       -2.6227       -1.3871       0.61241       108.332        5.7538        5.0404        5.0404        4.4570        95.000
20120827.170000          -94.413       29.2320       15.3785       -0.5601       -3.9437       0.39746       121.726        4.7552        3.6703        3.6703        2.8668       115.000
20120827.170000          -84.517       28.5000       51.6082      -16.0221       -0.6011       4.18895       112.341        8.4242        7.3893        7.3893        6.8388       105.000
20120827.170000          -88.207       29.2120      293.3774       -7.6307      -11.1672       3.18426        76.821       10.1933        6.6577        6.6577        5.7994       115.000
20120827.170000          -94.000       22.2030     3498.4778       -0.2424       -4.4137       1.19065        64.007        9.2666        6.4062        6.4062        5.1629        75.000
20120827.170000          -84.857       19.8020     4540.7300       -0.5611        2.2635       1.55541       352.407       10.1933        7.2566        7.2566        6.6125       355.000
20120827.180000          -89.658       25.8880     3176.6836        4.6163      -12.6999       3.73088        28.341       10.1933        7.2033        7.2033        6.4945        85.000
20120827.180000          -93.666       25.7900     3211.0347       -1.0488       -6.2224       1.59318        76.341        9.2666        5.8256        5.8256        4.6295        85.000
20120827.180000          -85.612       26.0440     3278.5854       -3.0308       24.7111       5.12802        81.024       11.2126        8.7741        8.7741        8.1480        95.000
20120827.180000          -87.555       30.0650       24.8846       -8.6027       -8.6601       2.27226        97.173       11.2126        5.6127        5.6127        4.6375       135.000
20120827.180000          -96.695       26.9660       85.1907       -2.0279       -1.0767       0.63925       106.836        5.7538        5.2126        5.2126        4.5918        95.000
20120827.180000          -94.413       29.2320       15.3785       -0.2762       -3.6697       0.41991       115.289        4.7552        3.3047        3.3047        2.5032       115.000
20120827.180000          -84.517       28.5000       51.6082      -15.4712        0.2743       4.11265       116.302        8.4242        7.3974        7.3974        6.8252       165.000
20120827.180000          -88.207       29.2120      293.3774       -8.0018      -11.0798       3.37513        79.323       10.1933        6.8508        6.8508        5.9774       115.000
20120827.180000          -94.000       22.2030     3498.4778       -0.0725       -4.1527       1.24364        64.142        9.2666        6.6019        6.6019        5.3641        75.000
20120827.180000          -84.857       19.8020     4540.7300       -0.9449        2.4460       1.53915       352.688       10.1933        7.3110        7.3110        6.7063       355.000
20120827.190000          -89.658       25.8880     3176.6836        5.2681      -12.2586       3.82341        29.211       10.1933        7.3427        7.3427        6.6251        85.000
20120827.190000          -93.666       25.7900     3211.0347       -0.4302       -6.1160       1.64561        76.058        9.2666        6.0235        6.0235        4.8174        85.000
20120827.190000          -85.612       26.0440     3278.5854       -2.7308       24.5114       5.06338        97.803       11.2126        7.9481        7.9481        7.2526        95.000
20120827.190000          -87.555       30.0650       24.8846       -8.9286       -8.4372       2.39110       100.314       11.2126        5.7865        5.7865        4.7544       135.000
20120827.190000          -96.695       26.9660       85.1907       -1.4331       -0.7662       0.66960       105.349        5.7538        5.3969        5.3969        4.7375        95.000
20120827.190000          -94.413       29.2320       15.3785        0.0078       -3.3956       0.42491       113.817        4.7552        3.4279        3.4279        2.6545       115.000
20120827.190000          -84.517       28.5000       51.6082      -15.4324        1.8551       4.06884       120.533        8.4242        7.3694        7.3694        6.7815       165.000
20120827.190000          -88.207       29.2120      293.3774       -8.3072      -11.1038       3.55109        82.054       11.2126        7.0571        7.0571        6.1668       125.000
20120827.190000          -94.000       22.2030     3498.4778        0.0975       -3.8919       1.29282        64.397        9.2666        6.8701        6.8701        5.7002        75.000
20120827.190000          -84.857       19.8020     4540.7300       -1.3287        2.6284       1.52037       352.849       10.1933        7.3451        7.3451        6.7774       355.000
20120827.200000          -89.658       25.8880     3176.6836        5.7346      -11.9267       3.92942        30.574       10.1933        7.4955        7.4955        6.7553        85.000
20120827.200000          -93.666       25.7900     3211.0347        0.1883       -6.0096       1.69965        75.718        9.2666        6.1846        6.1846        4.9538        85.000
20120827.200000          -85.612       26.0440     3278.5854       -0.1685       23.7243       5.05825       126.271       10.1933        7.5357        7.5357        6.9257       105.000
20120827.200000          -87.555       30.0650       24.8846       -9.2610       -8.3145       2.50333       103.184       11.2126        5.9711        5.9711        4.8888       135.000
20120827.200000          -96.695       26.9660       85.1907       -0.8384       -0.4557       0.70349       103.913        9.2666        5.5915        5.5915        4.8948        95.000
20120827.200000          -94.413       29.2320       15.3785        0.2919       -3.1216       0.42165       114.608        4.7552        3.6645        3.6645        2.9038       115.000
20120827.200000          -84.517       28.5000       51.6082      -15.4100        2.5396       4.04370       123.928        8.4242        7.3402        7.3402        6.7424       165.000
20120827.200000          -88.207       29.2120      293.3774       -8.6620      -11.2436       3.71979        84.594       11.2126        7.2618        7.2618        6.3444       125.000
20120827.200000          -94.000       22.2030     3498.4778        0.2675       -3.6309       1.34011        64.585        9.2666        7.1466        7.1466        6.0931        75.000
20120827.200000          -84.857       19.8020     4540.7300       -1.7126        2.8108       1.49969       352.907       10.1933        7.3616        7.3616        6.8250       355.000
20120827.210000          -89.658       25.8880     3176.6836        6.2068      -11.6074       4.04998        32.122       11.2126        7.6618        7.6618        6.8958        85.000
20120827.210000          -93.666       25.7900     3211.0347        0.8069       -5.9032       1.75476        75.307        9.2666        6.3299        6.3299        5.0704        85.000
20120827.210000          -85.612       26.0440     3278.5854        1.2880       23.2952       5.17171       157.736        8.4242        7.5117        7.5117        7.0275       185.000
20120827.210000          -87.555       30.0650       24.8846       -9.6298       -8.2209       2.61277       105.774       11.2126        6.1592        6.1592        5.0337       135.000
20120827.210000          -96.695       26.9660       85.1907       -0.2436       -0.1453       0.74082       102.559        9.2666        5.7938        5.7938        5.0634        95.000
20120827.210000          -94.413       29.2320       15.3785        0.5759       -2.8476       0.41861       115.127        4.7552        3.8540        3.8540        3.0946       115.000
20120827.210000          -84.517       28.5000       51.6082      -15.3294        3.2380       4.02627       127.100       10.1933        7.3150        7.3150        6.7091       165.000
20120827.210000          -88.207       29.2120      293.3774       -9.0668      -11.4531       3.89891        86.608       11.2126        7.4425        7.4425        6.5092       125.000
20120827.210000          -94.000       22.2030     3498.4778        0.4375       -3.3700       1.38588        64.675        9.2666        7.4043        7.4043        6.4869        65.000
20120827.210000          -84.857       19.8020     4540.7300       -2.0963        2.9933       1.47780       352.875       10.1933        7.3647        7.3647        6.8542       355.000
20120827.220000          -89.658       25.8880     3176.6836        6.6870      -11.2942       4.18076        33.482       11.2126        7.8409        7.8409        7.0581        85.000
20120827.220000          -93.666       25.7900     3211.0347        1.4255       -5.7968       1.80937        74.875        9.2666        6.4896        6.4896        5.2019        85.000
20120827.220000          -85.612       26.0440     3278.5854        2.2332       23.0616       5.33203       176.283        8.4242        7.6282        7.6282        7.2052       185.000
20120827.220000          -87.555       30.0650       24.8846      -10.0387       -8.1530       2.72580       107.838       11.2126        6.3295        6.3295        5.1654       135.000
20120827.220000          -96.695       26.9660       85.1907        0.3512        0.1652       0.78134       101.307        9.2666        5.9994        5.9994        5.2386        95.000
20120827.220000          -94.413       29.2320       15.3785        0.8599       -2.5736       0.41617       115.379        4.7552        3.9840        3.9840        3.1948       115.000
20120827.220000          -84.517       28.5000       51.6082      -15.1927        3.9436       4.00862       130.340       10.1933        7.3140        7.3140        6.7068       165.000
20120827.220000          -88.207       29.2120      293.3774       -9.5098      -11.7452       4.07502        88.427       11.2126        7.6251        7.6251        6.6838       125.000
20120827.220000          -94.000       22.2030     3498.4778        0.6074       -3.1091       1.43052        64.643        9.2666        7.6198        7.6198        6.8106        65.000
20120827.220000          -84.857       19.8020     4540.7300       -2.4802        3.1757       1.45549       352.767        9.2666        7.3576        7.3576        6.8665       355.000
20120827.230000          -89.658       25.8880     3176.6836        7.1769      -10.9809       4.30708        34.839       11.2126        8.0282        8.0282        7.2250        75.000
20120827.230000          -93.666       25.7900     3211.0347        2.0440       -5.6905       1.86226        74.414       10.1933        6.6625        6.6625        5.3459        85.000
